CentreId,CentreName,PostCode,SquareMetres,NumberUnits,Details
96,Dunmail Park Shopping Centre,CA14 1NQ,18580,25,"96 Dunmail Park Shopping Centre CA14 1NQ 18,580 25"
97,Newton Aycliffe Shopping Centre,DL5 4SB,18580,30,"97 Newton Aycliffe Shopping Centre DL5 4SB 18,580 30"
98,Swinton Shopping Centre,M27 4BH,18580,70,"98 Swinton Shopping Centre M27 4BH 18,580 70"
99,Portland Walk Shopping Centre,LA14 1DB,18580,36,"99 Portland Walk Shopping Centre LA14 1DB 18,580 36"
100,The Wulfrun Centre,WV1 3PR,18581,50,"100 The Wulfrun Centre WV1 3PR 18,581 50"
101,Riverside Retail Park,TA1 2LP,18581,9,"101 Riverside Retail Park TA1 2LP 18,581 9"
102,Northgate Quarter,OX1,18581,8,"102 Northgate Quarter OX1 18,581 8"
103,Ellesmere Retail Park,M28 3EE,18581,13,"103 Ellesmere Retail Park M28 3EE 18,581 13"
104,New Cathedral Street,M3 1SQ,18581,10,"104 New Cathedral Street M3 1SQ 18,581 10"
105,Millburngate Shopping Centre,DH1 4SJ,18581,53,"105 Millburngate Shopping Centre DH1 4SJ 18,581 53"
106,Phoenix Retail Park,NN17 5DT,18581,10,"106 Phoenix Retail Park NN17 5DT 18,581 10"
107,Princess Square Shopping Centre,RG12 1LS,18581,50,"107 Princess Square Shopping Centre RG12 1LS 18,581 50"
108,Harpur Centre,MK40 1TJ,18581,32,"108 Harpur Centre MK40 1TJ 18,581 32"
109,Bath Road Retail Park,SL1 4EE,18583,9,"109 Bath Road Retail Park SL1 4EE 18,583 9"
110,Regent Walk,TS10 3EU,18673,23,"110 Regent Walk TS10 3EU 18,673 23"
111,Piazza Shopping Centre,HD1 2RS,18673,36,"111 Piazza Shopping Centre HD1 2RS 18,673 36"
112,Darwin Shopping Centre,SY1 1PL,18674,57,"112 Darwin Shopping Centre SY1 1PL 18,674 57"
113,Gallions Reach Shopping Park,E6,19064,12,"113 Gallions Reach Shopping Park E6 19,064 12"
114,The Greyhound Retail Park,CH1 4QG,19065,11,"114 The Greyhound Retail Park CH1 4QG 19,065 11"
115,Vancouver Centre,PE30 1NE,19161,40,"115 Vancouver Centre PE30 1NE 19,161 40"
116,Great Western Designer Outlet,SN2 2DY,19231,103,"116 Great Western Designer Outlet SN2 2DY 19,231 103"
117,Festival Retail Park,ST1 5SJ,19376,12,"117 Festival Retail Park ST1 5SJ 19,376 12"
118,Lion Walk Shopping Centre,CO1 1DX,19380,48,"118 Lion Walk Shopping Centre CO1 1DX 19,380 48"
119,Riverside Retail Park,NG2 1RU,19463,7,"119 Riverside Retail Park NG2 1RU 19,463 7"
120,Meadowhall Retail Park,S9 2YZ,19509,14,"120 Meadowhall Retail Park S9 2YZ 19,509 14"
121,Lakeside Retail Park,DN16 3AU,19509,12,"121 Lakeside Retail Park DN16 3AU 19,509 12"
122,Ankerside Shopping Centre,B79 7LG,19510,59,"122 Ankerside Shopping Centre B79 7LG 19,510 59"
123,St George's Shopping Centre,HA1 1HS,19510,24,"123 St George's Shopping Centre HA1 1HS 19,510 24"
124,Westgate Retail and Leisure Park,WF2 9SD,19559,13,"124 Westgate Retail and Leisure Park WF2 9SD 19,559 13"
125,Retail Park At Cribbs Causeway,BS34 5DG,19688,10,"125 Retail Park At Cribbs Causeway BS34 5DG 19,688 10"
126,Altrincham Retail Park,WA14 5BT,19742,12,"126 Altrincham Retail Park WA14 5BT 19,742 12"
127,Carlton Centre,LN2 4UX,19788,9,"127 Carlton Centre LN2 4UX 19,788 9"
128,Prospect Place Retail Park,DA1 1DY,19927,7,"128 Prospect Place Retail Park DA1 1DY 19,927 7"
129,Palace Gardens Shopping Centre,EN2 6SN,19974,41,"129 Palace Gardens Shopping Centre EN2 6SN 19,974 41"
130,Wheatley Centre,DN2 4PE,19974,13,"130 Wheatley Centre DN2 4PE 19,974 13"
131,Metro Retail Park,NE11 9XU,20059,12,"131 Metro Retail Park NE11 9XU 20,059 12"
132,West Orchards Shopping Centre,CV1 1QX,20067,40,"132 West Orchards Shopping Centre CV1 1QX 20,067 40"
133,Victoria Quarter,LS1 6AZ,20230,82,"133 Victoria Quarter LS1 6AZ 20,230 82"
134,The Foundry,DN15 6SS,20438,58,"134 The Foundry DN15 6SS 20,438 58"
135,Hunts Cross Shopping Park,L24 9GB,20438,30,"135 Hunts Cross Shopping Park L24 9GB 20,438 30"
136,Captain Cook Square,TS1 5UB,20439,21,"136 Captain Cook Square TS1 5UB 20,439 21"
137,Vicar Lane Shopping Centre,S40 1PY,20439,38,"137 Vicar Lane Shopping Centre S40 1PY 20,439 38"
138,Cambridge Retail Park,CB5 8WR,20439,12,"138 Cambridge Retail Park CB5 8WR 20,439 12"
139,The Junction Sheffield,S20 7JJ,20531,18,"139 The Junction Sheffield S20 7JJ 20,531 18"
140,The Killingworth Centre,NE12 6YT,20578,36,"140 The Killingworth Centre NE12 6YT 20,578 36"
141,The Gallagher Retail Park,GL51 9R,20671,11,"141 The Gallagher Retail Park GL51 9R 20,671 11"
142,Leyton Mills,E10 5NH,20710,7,"142 Leyton Mills E10 5NH 20,710 7"
143,Belle Vale Shopping Centre,L25 2RF,20745,65,"143 Belle Vale Shopping Centre L25 2RF 20,745 65"
144,The Mall,CH1 1DE,20903,80,"144 The Mall CH1 1DE 20,903 80"
145,Viking Shopping Centre,NE32 3LF,20904,65,"145 Viking Shopping Centre NE32 3LF 20,904 65"
146,Cortonwood Retail Park,S73 0TB,20996,8,"146 Cortonwood Retail Park S73 0TB 20,996 8"
147,Queensgate Centre Retail Park,CM20 2DA,21008,14,"147 Queensgate Centre Retail Park CM20 2DA 21,008 14"
148,Handforth Dean Centre,SK9 3PF,21089,3,"148 Handforth Dean Centre SK9 3PF 21,089 3"
149,Wolsey Place Shopping Centre,GU21 1WP,21368,63,"149 Wolsey Place Shopping Centre GU21 1WP 21,368 63"
150,The Galleries Shopping Centre,WN1 1AR,21368,64,"150 The Galleries Shopping Centre WN1 1AR 21,368 64"
151,Queen's Square Shopping Centre,B70 7NJ,21368,54,"151 Queen's Square Shopping Centre B70 7NJ 21,368 54"
152,Birchwood Shopping Centre,WA3 7PG,21368,68,"152 Birchwood Shopping Centre WA3 7PG 21,368 68"
153,Four Seasons Shopping Centre,NG18 1SU,21461,54,"153 Four Seasons Shopping Centre NG18 1SU 21,461 54"
154,Brookfield Centre (Tesco),EN8 0TA,21512,4,"154 Brookfield Centre (Tesco) EN8 0TA 21,512 4"
155,North Point Shopping Centre,HU7 4EE,21524,64,"155 North Point Shopping Centre HU7 4EE 21,524 64"
156,Westgate Shopping Centre,OX1 1NZ,21554,38,"156 Westgate Shopping Centre OX1 1NZ 21,554 38"
157,Hill Street Centre,TS1 1SU,21555,46,"157 Hill Street Centre TS1 1SU 21,555 46"
158,Holmbush Farm,BN4 3TD,21587,3,"158 Holmbush Farm BN4 3TD 21,587 3"
159,Silverlink Retail & Leisure Park,NE28 9NG,21600,13,"159 Silverlink Retail & Leisure Park NE28 9NG 21,600 13"
160,Cleveland Retail Park,TS6 6UW,21620,9,"160 Cleveland Retail Park TS6 6UW 21,620 9"
161,Peel Centre,SK1 2HH,21832,13,"161 Peel Centre SK1 2HH 21,832 13"
162,Interchange Retail Park,MK42 7AZ,21832,13,"162 Interchange Retail Park MK42 7AZ 21,832 13"
163,Forster Square Retail Park,BD1 4JB,22111,19,"163 Forster Square Retail Park BD1 4JB 22,111 19"
164,County Square Shopping Centre,TN23 1YD,22111,47,"164 County Square Shopping Centre TN23 1YD 22,111 47"
165,The Quedam Shopping Centre,BA20 1EY,22204,43,"165 The Quedam Shopping Centre BA20 1EY 22,204 43"
166,Howard Centre,AL8 6ES,22297,58,"166 Howard Centre AL8 6ES 22,297 58"
167,Charter Place Shopping Centre,WD1 2RN,22297,40,"167 Charter Place Shopping Centre WD1 2RN 22,297 40"
168,The Square,M33 7WZ,22297,55,"168 The Square M33 7WZ 22,297 55"
169,The Mall Romford,RM1 3EE,22297,36,"169 The Mall Romford RM1 3EE 22,297 36"
170,Pride Hill Shopping Centre,SY1 1BZ,22483,52,"170 Pride Hill Shopping Centre SY1 1BZ 22,483 52"
171,The Boardwalk,PO6 4TP,22632,46,"171 The Boardwalk PO6 4TP 22,632 46"
172,Wolstanton Retail Park,ST5 0AY,22761,5,"172 Wolstanton Retail Park ST5 0AY 22,761 5"
173,Victoria Retail Park,NG4 2PA,22947,6,"173 Victoria Retail Park NG4 2PA 22,947 6"
174,Racecourse Retail Park,L9 5AN,23040,15,"174 Racecourse Retail Park L9 5AN 23,040 15"
175,The Pallasades Shopping Centre,B2 4XJ,23225,90,"175 The Pallasades Shopping Centre B2 4XJ 23,225 90"
176,Mcarthurglen Designer Outlet York,YO19 4TA,23226,115,"176 Mcarthurglen Designer Outlet York YO19 4TA 23,226 115"
177,Green Oaks Shopping Centre,WA8 6UD,23226,40,"177 Green Oaks Shopping Centre WA8 6UD 23,226 40"
178,Elmsleigh Centre,TW18 4QF,23226,60,"178 Elmsleigh Centre TW18 4QF 23,226 60"
179,Ravenhead Park,WA9 1JF,23226,9,"179 Ravenhead Park WA9 1JF 23,226 9"
180,The Maltings Shopping Centre,AL1 3HU,23226,55,"180 The Maltings Shopping Centre AL1 3HU 23,226 55"
181,The Royals Shopping Centre,SS1 1DG,23226,35,"181 The Royals Shopping Centre SS1 1DG 23,226 35"
182,Hedge End Park,SO30 2UH,23226,5,"182 Hedge End Park SO30 2UH 23,226 5"
183,The Parishes,DN15 6QX,23226,25,"183 The Parishes DN15 6QX 23,226 25"
184,Clock Towers Shopping Centre,CV21 2JR,23226,45,"184 Clock Towers Shopping Centre CV21 2JR 23,226 45"
185,Kennet Centre,RG14 5EN,23226,57,"185 Kennet Centre RG14 5EN 23,226 57"
186,Edge Lane Retail Park,L13 1EW,23226,21,"186 Edge Lane Retail Park L13 1EW 23,226 21"
187,Crossley Park Retail Park,DY11 6DY,23226,10,"187 Crossley Park Retail Park DY11 6DY 23,226 10"
188,The Airedale Shopping Centre,BD21 3QQ,23226,84,"188 The Airedale Shopping Centre BD21 3QQ 23,226 84"
189,Swan Walk,RH12 1HQ,23226,53,"189 Swan Walk RH12 1HQ 23,226 53"
190,Eastgate Shopping Centre,GL1 1PL,23226,50,"190 Eastgate Shopping Centre GL1 1PL 23,226 50"
191,Manor Walks Shopping Centre,NE23 6UT,23226,52,"191 Manor Walks Shopping Centre NE23 6UT 23,226 52"
192,Freeport Designer Outlet Village,WF10 4SB,23226,85,"192 Freeport Designer Outlet Village WF10 4SB 23,226 85"
193,Stamford Shopping Centre,WA14 1RL,23226,36,"193 Stamford Shopping Centre WA14 1RL 23,226 36"
194,Friars Square Shopping Centre,HP20 2SP,23597,83,"194 Friars Square Shopping Centre HP20 2SP 23,597 83"
195,High Chelmer Shopping Centre,CM1 1XB,23690,82,"195 High Chelmer Shopping Centre CM1 1XB 23,690 82"
196,Blackburn Retail Park,BB1 3HT,23691,12,"196 Blackburn Retail Park BB1 3HT 23,691 12"
197,The Parade Centre,SN1 1BB,24029,29,"197 The Parade Centre SN1 1BB 24,029 29"
198,Crown Point Retail Park,LS10 1EW,24030,17,"198 Crown Point Retail Park LS10 1EW 24,030 17"
199,The Junction Wembley,HA9 0TL,24155,22,"199 The Junction Wembley HA9 0TL 24,155 22"
200,The Fort Shopping Park,B24 9FP,24155,40,"200 The Fort Shopping Park B24 9FP 24,155 40"
201,Woolshops Shopping Centre,HX1 1RU,24230,47,"201 Woolshops Shopping Centre HX1 1RU 24,230 47"
202,Haymarket Shopping Centre,LE1 3YH,24379,57,"202 Haymarket Shopping Centre LE1 3YH 24,379 57"
203,The Bridges Shopping Centre,SR1 3DR,24619,85,"203 The Bridges Shopping Centre SR1 3DR 24,619 85"
204,Kingsgate Centre,HD1 2QB,24712,48,"204 Kingsgate Centre HD1 2QB 24,712 48"
205,Templars Square Shopping Centre,OX4 3XH,24849,84,"205 Templars Square Shopping Centre OX4 3XH 24,849 84"
206,Cathedral Plaza,WR1 2LR,25000,45,"206 Cathedral Plaza WR1 2LR 25,000 45"
207,Millgate Shopping Centre,BL9 0QQ,25001,124,"207 Millgate Shopping Centre BL9 0QQ 25,001 124"
208,Elk Mill Retail Park,OL2 5HX,25084,19,"208 Elk Mill Retail Park OL2 5HX 25,084 19"
209,Buttermarket Shopping Centre,IP1 1DT,25084,30,"209 Buttermarket Shopping Centre IP1 1DT 25,084 30"
210,Winsford Cross Shopping Centre,CW7 1AR,25197,80,"210 Winsford Cross Shopping Centre CW7 1AR 25,197 80"
211,Monks Cross Shopping Park,YO32 9GX,25378,26,"211 Monks Cross Shopping Park YO32 9GX 25,378 26"
212,O2,NW3 6LU,25378,17,"212 O2 NW3 6LU 25,378 17"
213,The Chantry Centre,SP10 1RL,25455,65,"213 The Chantry Centre SP10 1RL 25,455 65"
214,Surrey Quays Shopping Centre,SE16 7LL,25474,45,"214 Surrey Quays Shopping Centre SE16 7LL 25,474 45"
215,Ealing Broadway Centre,W5 5JY,25548,87,"215 Ealing Broadway Centre W5 5JY 25,548 87"
216,Headrow Shopping Centre,LS1 6JE,25618,41,"216 Headrow Shopping Centre LS1 6JE 25,618 41"
217,Eden Walk Shopping Centre,KT1 1BL,25641,26,"217 Eden Walk Shopping Centre KT1 1BL 25,641 26"
218,Lower Precinct Shopping Centre,CV1 1DS,25734,32,"218 Lower Precinct Shopping Centre CV1 1DS 25,734 32"
219,Whiteleys Shopping & Leisure Centre,W2 4YN,26013,78,"219 Whiteleys Shopping & Leisure Centre W2 4YN 26,013 78"
220,Treaty Centre,TW3 1RH,26013,40,"220 Treaty Centre TW3 1RH 26,013 40"
221,St Ann's Shopping Centre,HA1 1AR,26013,35,"221 St Ann's Shopping Centre HA1 1AR 26,013 35"
222,Priory Square Shopping Centre,B4 7LG,26013,39,"222 Priory Square Shopping Centre B4 7LG 26,013 39"
223,Selborne Walk Shopping Centre,E17 7JR,26059,58,"223 Selborne Walk Shopping Centre E17 7JR 26,059 58"
224,Telford Forge Retail Park,TF3 4AG,26199,12,"224 Telford Forge Retail Park TF3 4AG 26,199 12"
225,Priory Meadow Shopping Centre,TN34 1PJ,26477,51,"225 Priory Meadow Shopping Centre TN34 1PJ 26,477 51"
226,Weston Favell Shopping Centre,NN3 8JZ,26916,70,"226 Weston Favell Shopping Centre NN3 8JZ 26,916 70"
227,Stratford Centre,E15 1NG,26942,64,"227 Stratford Centre E15 1NG 26,942 64"
228,Clayton Square Shopping Centre,L1 1QR,26942,46,"228 Clayton Square Shopping Centre L1 1QR 26,942 46"
229,Salford Shopping City,M6 5JA,27000,85,"229 Salford Shopping City M6 5JA 27,000 85"
230,Bolton Gate Retail Park,BL1 2SP,27128,9,"230 Bolton Gate Retail Park BL1 2SP 27,128 9"
231,Middleton Shopping Centre,M24 4EL,27406,74,"231 Middleton Shopping Centre M24 4EL 27,406 74"
232,Broughton Shopping Park,CH4 0BY,27632,18,"232 Broughton Shopping Park CH4 0BY 27,632 18"
233,Serpentine Green Shopping Centre,PE7 8BE,27857,26,"233 Serpentine Green Shopping Centre PE7 8BE 27,857 26"
234,Crowngate Shopping Centre,WR1 3LE,27871,71,"234 Crowngate Shopping Centre WR1 3LE 27,871 71"
235,Cockhedge Shopping Park,WA1 2QQ,27871,40,"235 Cockhedge Shopping Park WA1 2QQ 27,871 40"
236,Ventura Retail Park,B78 3JD,27871,17,"236 Ventura Retail Park B78 3JD 27,871 17"
237,Victoria Plaza Shopping Centre,SS2 5BG,27871,96,"237 Victoria Plaza Shopping Centre SS2 5BG 27,871 96"
238,Ellesmere Shopping Centre,M28 3AA,27871,130,"238 Ellesmere Shopping Centre M28 3AA 27,871 130"
239,The Mall Ilford,IG1 1RS,27871,100,"239 The Mall Ilford IG1 1RS 27,871 100"
240,Princes Quay Shopping Centre,HU1 2PQ,27871,121,"240 Princes Quay Shopping Centre HU1 2PQ 27,871 121"
241,The Water Gardens,CM20,27871,23,"241 The Water Gardens CM20 27,871 23"
242,Guildhall Shopping Centre,EX4 3DG,27871,46,"242 Guildhall Shopping Centre EX4 3DG 27,871 46"
243,Swan Centre,SO50 5SF,27871,50,"243 Swan Centre SO50 5SF 27,871 50"
244,Market Place Shopping Centre,BL1 2AL,27871,34,"244 Market Place Shopping Centre BL1 2AL 27,871 34"
245,The Malls,RG21 7QU,27871,27,"245 The Malls RG21 7QU 27,871 27"
246,Golden Square Shopping Centre,WA1 1QB,27901,81,"246 Golden Square Shopping Centre WA1 1QB 27,901 81"
247,Greenbridge Retail Park,SN3 3SQ,27917,16,"247 Greenbridge Retail Park SN3 3SQ 27,917 16"
248,St George's Shopping Centre,PR1 2TU,27964,99,"248 St George's Shopping Centre PR1 2TU 27,964 99"
249,Roaring Meg Retail Park,SG1 1XH,28238,17,"249 Roaring Meg Retail Park SG1 1XH 28,238 17"
250,Prospect Shopping Centre,HU2 8PP,28800,40,"250 Prospect Shopping Centre HU2 8PP 28,800 40"
251,Freeport Braintree Outlet Village,CM7 8YH,28859,82,"251 Freeport Braintree Outlet Village CM7 8YH 28,859 82"
252,Deepdale Shopping Park,PR1 6AF,29069,20,"252 Deepdale Shopping Park PR1 6AF 29,069 20"
253,Church Square Shopping Centre,WA10 1AR,29231,82,"253 Church Square Shopping Centre WA10 1AR 29,231 82"
254,Centre Court Shopping Centre,SW19 8YA,29264,62,"254 Centre Court Shopping Centre SW19 8YA 29,264 62"
255,Beaumont Shopping Centre,LE4 1DF,29450,57,"255 Beaumont Shopping Centre LE4 1DF 29,450 57"
256,Swansgate Centre,NN8 1EY,29729,62,"256 Swansgate Centre NN8 1EY 29,729 62"
257,Queensmere Shopping Centre,SL1 1DG,29729,80,"257 Queensmere Shopping Centre SL1 1DG 29,729 80"
