Id,Name,Series,Category,Mentor,Finished
88,Paije Richardson,7,Boys,Dannii Minogue,8
95,Kye Sones,9,Over 28s,Gary Barlow,8
53,Roberta Howett,1,16-24s,Sharon Osbourne,9
108,Chenai Zinyuku,2,16-24s,Louis Walsh,9
73,Kerry McGregor,3,Over 25s,Sharon Osbourne,9
45,Futureproof,4,Groups,Simon Cowell,9
37,Austin Drage,5,Boys,Simon Cowell,9
6,Rachel Adedeji,6,Girls,Dannii Minogue,9
49,Aiden Grimshaw,7,Boys,Dannii Minogue,9
90,Johnny Robinson,8,Over 25s,Louis Walsh,9
75,Phillip Magee,2,16-24s,Louis Walsh,10
80,Dionne Mitchell,3,Over 25s,Sharon Osbourne,10
19,Scott Bruton,5,Boys,Simon Cowell,10
79,Miss Frank,6,Groups,Louis Walsh,10
25,Treyc Cohen,7,Girls,Cheryl Cole,10
97,The Risk,8,Groups,Tulisa Contostavlos,10
39,Jade Ellis,9,Girls,Tulisa Contostavlos,10
3,4Tune,2,Groups,Simon Cowell,11
2,4Sure,3,Groups,Louis Walsh,11
31,Daniel DeBourg,4,Over 25s,Louis Walsh,11
48,Girlband,5,Groups,Louis Walsh,11
69,Rikki Loney,6,Boys,Cheryl Cole,11
14,Belle Amie,7,Groups,Simon Cowell,11
50,Sophie Habibis,8,Girls,Kelly Rowland,11
81,MK1,9,Groups,Louis Walsh,11
5,Addictiv Ladies,2,Groups,Simon Cowell,12
99,The Unconventionals,3,Groups,Louis Walsh,12
96,Kimberley Southwick,4,Girls,Sharon Osbourne,12
13,Bad Lashes,5,Groups,Louis Walsh,12
61,Kandy Rain,6,Groups,Louis Walsh,12
7,John Adeleye,7,Over 28s,Louis Walsh,12
16,Sami Brookes,8,Over 25s,Louis Walsh,12
77,Melanie Masson,9,Over 28s,Gary Barlow,12
34,Diva Fever,7,Groups,Simon Cowell,13
83,Nu Vibe,8,Groups,Tulisa Contostavlos,13
85,Carolynne Poole,9,Over 28s,Gary Barlow,13
64,Storm Lee,7,Over 28s,Louis Walsh,14
46,F.Y.D.,7,Groups,Simon Cowell,15
109,Wally Owl,10,Birds,Wally Owl,15
44,Nicolo Festa,7,Boys,Dannii Minogue,16
