Id,ShopDate,Store,Item,Shelf,Unit,Quantity, Price 
269,5/7/2017,Waitrose,White sliced bread,Groceries,500 gm loaf,1, 0.90 
270,5/7/2017,Waitrose,Potatoes,Fruit and veg,Kilogram,2, 0.83 
271,5/7/2017,Waitrose,Butter,Dairy,250 gm pack,1, 1.72 
272,5/7/2017,Waitrose,Teabags,Groceries,Box of 80,1, 1.45 
273,5/7/2017,Waitrose,Vimto squash,Groceries,Standard bottle,1, 1.53 
274,5/7/2017,Waitrose,Baked beans,Groceries,4 tin pack,2, 1.68 
275,5/7/2017,Waitrose,Tomato ketchup,Groceries,Standard bottle,1, 1.02 
276,5/8/2017,Waitrose,Gala apples,Fruit and veg,Kilogram,1, 0.97 
277,5/8/2017,Waitrose,Bramley apples,Fruit and veg,Kilogram,1, 1.23 
278,5/8/2017,Waitrose,Bananas,Fruit and veg,Kilogram,2, 0.82 
279,5/8/2017,Waitrose,Carrots,Fruit and veg,Kilogram,1, 0.59 
280,5/8/2017,Waitrose,Chicken portions,Meat,Kilogram,1, 1.81 
281,5/8/2017,Waitrose,Own brand yoghurts,Dairy,Each,2, 0.53 
282,5/8/2017,Waitrose,Cheddar,Dairy,Kilogram,1, 2.66 
283,5/8/2017,Waitrose,Special K red berries,Groceries,500gm box,1, 3.69 
284,5/8/2017,Waitrose,Multigrain bread,Groceries,500 gm loaf,1, 1.15 
285,5/8/2017,Waitrose,Onions,Fruit and veg,Kilogram,1, 0.72 
286,5/8/2017,Waitrose,Teabags,Groceries,Box of 80,1, 1.41 
287,5/8/2017,Waitrose,Baked beans,Groceries,4 tin pack,1, 1.66 
288,5/8/2017,Waitrose,Margarita pizzas,Groceries,"12"" diameter",3, 3.05 
289,5/14/2017,Independent,Bananas,Fruit and veg,Kilogram,3, 0.88 
290,5/14/2017,Independent,Carrots,Fruit and veg,Kilogram,2, 0.63 
291,5/14/2017,Independent,Activia yoghurts,Dairy,4 pack,1, 1.62 
292,5/14/2017,Independent,Cheddar,Dairy,Kilogram,1, 2.81 
293,5/14/2017,Independent,Beef mince,Meat,Kilogram,2, 5.75 
294,5/14/2017,Independent,Onions,Fruit and veg,Kilogram,1, 0.73 
295,5/14/2017,Independent,Butter,Dairy,250 gm pack,1, 1.79 
296,5/14/2017,Independent,Coffee beans,Groceries,Standard box,1, 2.87 
297,5/14/2017,Independent,Eggs,Groceries,Box of 12 large,1, 2.28 
298,5/14/2017,Independent,Margarita pizzas,Groceries,"12"" diameter",1, 3.14 
299,5/19/2017,Independent,Gala apples,Fruit and veg,Kilogram,1, 0.99 
300,5/19/2017,Independent,Bramley apples,Fruit and veg,Kilogram,3, 1.26 
301,5/19/2017,Independent,Bananas,Fruit and veg,Kilogram,1, 0.88 
302,5/19/2017,Independent,Broccoli,Fruit and veg,Kilogram,1, 0.76 
303,5/19/2017,Independent,Chicken portions,Meat,Kilogram,3, 1.88 
304,5/19/2017,Independent,Activia yoghurts,Dairy,4 pack,1, 1.63 
305,5/19/2017,Independent,Cheddar,Dairy,Kilogram,1, 2.75 
306,5/19/2017,Independent,Muesli,Groceries,Kilogram bag,1, 3.14 
307,5/19/2017,Independent,Beef mince,Meat,Kilogram,1, 5.53 
308,5/19/2017,Independent,Multigrain bread,Groceries,500 gm loaf,1, 1.19 
309,5/19/2017,Independent,Butter,Dairy,250 gm pack,3, 1.79 
310,5/19/2017,Independent,Eggs,Groceries,Box of 12 large,1, 2.28 
311,5/22/2017,Tesco,Chicken portions,Meat,Kilogram,1, 1.54 
312,5/22/2017,Tesco,Semi-skimmed milk,Dairy,4 pint bottle,3, 1.20 
313,5/22/2017,Tesco,Own brand yoghurts,Dairy,Each,1, 0.46 
314,5/22/2017,Tesco,Cheddar,Dairy,Kilogram,3, 2.22 
315,5/22/2017,Tesco,Beef mince,Meat,Kilogram,1, 4.54 
316,5/22/2017,Tesco,Onions,Fruit and veg,Kilogram,1, 0.60 
317,5/22/2017,Tesco,Teabags,Groceries,Box of 80,1, 1.21 
318,5/22/2017,Tesco,Coffee beans,Groceries,Standard box,1, 2.30 
319,5/22/2017,Tesco,Eggs,Groceries,Box of 12 large,1, 1.76 
320,5/22/2017,Tesco,Margarita pizzas,Groceries,"12"" diameter",1, 2.47 
321,6/4/2017,Morrison,Gala apples,Fruit and veg,Kilogram,3, 0.80 
322,6/4/2017,Morrison,Bramley apples,Fruit and veg,Kilogram,1, 0.98 
323,6/4/2017,Morrison,Broccoli,Fruit and veg,Kilogram,3, 0.58 
324,6/4/2017,Morrison,Carrots,Fruit and veg,Kilogram,3, 0.50 
325,6/4/2017,Morrison,Chicken portions,Meat,Kilogram,3, 1.48 
326,6/4/2017,Morrison,Own brand yoghurts,Dairy,Each,3, 0.43 
327,6/4/2017,Morrison,Beef mince,Meat,Kilogram,1, 4.41 
328,6/4/2017,Morrison,White sliced bread,Groceries,500 gm loaf,3, 0.74 
329,6/4/2017,Morrison,Butter,Dairy,250 gm pack,1, 1.37 
330,6/4/2017,Morrison,Coffee beans,Groceries,Standard box,2, 2.27 
331,6/4/2017,Morrison,Vimto squash,Groceries,Standard bottle,2, 1.26 
332,6/4/2017,Morrison,Baked beans,Groceries,4 tin pack,1, 1.34 
333,6/4/2017,Morrison,Tomato ketchup,Groceries,Standard bottle,2, 0.83 
334,6/4/2017,Morrison,Eggs,Groceries,Box of 12 large,1, 1.74 
335,6/16/2017,Sainsbury,Gala apples,Fruit and veg,Kilogram,2, 0.85 
336,6/16/2017,Sainsbury,Bramley apples,Fruit and veg,Kilogram,3, 1.04 
337,6/16/2017,Sainsbury,Bananas,Fruit and veg,Kilogram,1, 0.75 
338,6/16/2017,Sainsbury,Chicken portions,Meat,Kilogram,1, 1.58 
339,6/16/2017,Sainsbury,Muesli,Groceries,Kilogram bag,3, 2.64 
